"","state","date","month","recovered.cases","active.cases","incident.rate","people.tested","people.hospitalized","mortality.rate","testing.rate","hospitalization.rate"
"5367","Montana",2020-04-23,4,306,428,51.0400271597611,11875,59,3.16742081447964,1371.26769801394,13.3484162895928
"5368","Montana",2020-04-24,4,325,430,51.2709775089003,12127,59,3.15315315315315,1400.36744200548,13.2882882882883
"5369","Montana",2020-04-25,4,339,431,51.3864526834698,12497,61,3.14606741573034,1443.09325659623,13.7078651685393
"5370","Montana",2020-04-26,4,339,434,51.7328782071786,12862,61,3.125,1485.24169531413,13.6160714285714
"5371","Montana",2020-04-27,4,352,435,51.8483533817482,13033,61,3.11804008908686,1504.98795016553,13.5857461024499
"5372","Montana",2020-04-28,4,356,436,52.0793037308874,13191,61,3.32594235033259,1523.23302774753,13.5254988913525
"5373","Montana",2020-04-29,4,382,435,52.0793037308874,13528,61,3.54767184035477,1562.14816157748,13.5254988913525
"5374","Montana",2020-04-30,4,392,45,52.3102540800266,13914,61,3.53200883002207,1606.72157896135,13.4657836644592
"5375","Montana",2020-05-01,5,397,40,52.3102540800266,14203,61,3.53200883002207,1640.09390441196,13.4657836644592
"5376","Montana",2020-05-02,5,404,35,52.5412044291658,14635,61,3.51648351648352,1689.97917982603,13.4065934065934
"5377","Montana",2020-05-03,5,404,35,52.5412044291658,15007,61,3.51648351648352,1732.93594476591,13.4065934065934
"5378","Montana",2020-05-04,5,404,37,52.772154778305,15088,62,3.50109409190372,1742.28943390605,13.5667396061269
"5379","Montana",2020-05-05,5,410,30,52.6566796037354,15272,62,3.50877192982456,1763.53686602686,13.5964912280702
"5380","Montana",2020-05-06,5,417,23,52.6566796037354,19704,62,3.50877192982456,2275.3228397193,13.5964912280702
"5381","Montana",2020-05-07,5,417,23,52.6566796037354,20247,62,3.50877192982456,2338.02585951059,13.5964912280702
"5382","Montana",2020-05-08,5,420,22,52.8876299528746,20945,62,3.49344978165939,2418.62753136017,13.5371179039301
"5383","Montana",2020-05-09,5,422,20,52.8876299528746,21329,62,3.49344978165939,2462.96999839489,13.5371179039301
"5384","Montana",2020-05-10,5,422,20,52.8876299528746,21704,62,3.49344978165939,2506.27318885849,13.5371179039301
"5385","Montana",2020-05-11,5,423,20,53.0031051274442,22572,62,3.48583877995643,2606.5056403849,13.5076252723312
"5386","Montana",2020-05-12,5,425,20,53.2340554765834,23035,63,3.470715835141,2659.97064621062,13.6659436008677
"5387","Montana",2020-05-13,5,430,16,53.349530651153,23852,63,3.46320346320346,2754.31386383398,13.6363636363636
"5388","Montana",2020-05-14,5,431,15,43.2269376802292,24549,63,3.46320346320346,2296.92227946309,13.6363636363636
"5389","Montana",2020-05-15,5,431,19,43.6011968809238,25418,63,3.43347639484979,2378.230090814,13.519313304721
"5390","Montana",2020-05-16,5,431,21,43.78832648,26091,63,3.418803419,2441.199201,13.46153846
"5391","Montana",2020-05-17,5,431,21,43.7883264812711,26885,63,3.41880341880342,2515.48965266875,13.4615384615385
"5392","Montana",2020-05-18,5,434,20,43.9754560816184,28167,64,3.40425531914894,2635.43972649138,13.6170212765957
"5393","Montana",2020-05-19,5,437,18,44.0690208817921,28950,65,3.39702760084926,2708.70096502735,13.8004246284501
"5394","Montana",2020-05-20,5,440,22,44.7239744830077,29726,65,3.34728033472803,2781.30724996211,13.5983263598326
"5395","Montana",2020-05-21,5,440,23,44.8175392831814,30524,65,3.34029227557411,2855.97196050068,13.5699373695198
